PHYLUM,ORDER,FAMILY,GENUS,TOL,2004,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Annelida,Haplotaxida,Enchytraeidae,na,T,,,,0.8,,,,,,,,,,
Annelida,Haplotaxida,Naididae,na,T,,,,,,,,,0.8,0.9,,,,
Annelida,Lumbriculida,Lumbriculidae,na,M,,,,,,,,,,,,,0.9,
Annelida,Rhynchobdellida,Erpobdellidae,Erpobdella,,0.9,,,,,,,,,,,,,
Annelida,Rhynchobdellida,Glossiphoniidae,Helobdella,M,0.9,,,8.4,,,,3.5,,,4.8,4.2,5.6,57
Annelida,Tubificida,Tubificidae,Limnodrilus,T,,,,0.8,,,,,,,,,,0.8
Annelida,Tubificida,Tubificidae,na,T,,,,,,,,,,,,,0.9,
Arthropoda,Amphipoda,Crangonyctidae,Crangonyx,M,,,,,,,,,,,,,1.9,
Arthropoda,Amphipoda,Crangonyctidae,Synurella,I,,,,,,,,,,,,,,1.7
Arthropoda,Amphipoda,Hyalellidae,Hyalella,M,11,,,1.7,,1.8,,1.7,,,,,0.9,
Arthropoda,Coleoptera,Dytiscidae,Neoporus,M,,2.9,2.7,,8,6.2,31.2,16.5,17.5,,3.2,,,0.8
Arthropoda,Coleoptera,Elmidae,Ancyronyx,T,,,,,,,,0.9,,0.9,,,,
Arthropoda,Coleoptera,Elmidae,Dubiraphia,M,2.8,,,,,,,,,,,,,
Arthropoda,Coleoptera,Gyrinidae,Dineutus,M,,,,,,,,,,,0.8,,,
Arthropoda,Coleoptera,Gyrinidae,Gyrinus,M,0.9,,,,,,,,,,,0.8,,
Arthropoda,Coleoptera,Haliplidae,Peltodytes,T,,,,,,,,,,,,0.8,,
Arthropoda,Collembola,Isotomidae,Isotomurus,M,,,,0.8,,,,,,,,,,
Arthropoda,Collembola,Sminthuridae,na,,2.8,,,,,,,,,,,2.5,,
Arthropoda,Decapoda,Cambaridae,na,I,,,3.6,,,0.9,,2.6,,4.7,2.4,0.8,,
Arthropoda,Diptera,Ceratopogonidae,Ceratopogon,I,,,,0.8,,,,,,,,,0.9,1.7
Arthropoda,Diptera,Chironomidae,Ablabesmyia,T,,,,,,,,,2.5,,,,1.9,
Arthropoda,Diptera,Chironomidae,na,M,,,,,,,0.8,,,,,,,
Arthropoda,Diptera,Chironomidae,Conchapelopia,M,,,,,,,,,,,1.6,,,
Arthropoda,Diptera,Chironomidae,Cricotopus,T,,,,,,,,,,,,0.8,,
Arthropoda,Diptera,Chironomidae,Dicrotendipes,T,,,,,,,,,,,1.6,,,
Arthropoda,Diptera,Chironomidae,Diplocladius,M,,,,,,,0.8,,,,,,,
Arthropoda,Diptera,Chironomidae,Heterotrissocladius,I,,,,,,0.9,,,,,,,,
Arthropoda,Diptera,Chironomidae,Hydrobaenus,T,,,,,,,,1.7,,4.7,0.8,0.8,2.8,0.8
Arthropoda,Diptera,Chironomidae,Kiefferulus,M,,1,8.1,,,,7.2,7.8,16.7,26.4,1.6,5.8,3.7,
Arthropoda,Diptera,Chironomidae,Labrundinia,M,,,,,,,,,,,,,0.9,1.7
